Transcript_Chr	Transcript_Start	Transcript_End	Strand	log2FoldChange	logCPM	P-value	FDR	DEG	Exposure	Sex	Stage	Transcript	Gene	Symbol	GeneType	TE_Chr	TE_Start	TE_End	TE_strand	subfamily	class	family	transcript_type
chr5	115605695	115605697	+	-0.321542044	3.433048636	0.183300733	0.669501651	FALSE	BPA10mg	F	adt	ENSMUST00000094427.6	ENSMUSG00000041638.18	Gcn1l1	protein_coding	chr5	115605623	115605764	-	ID_B1	SINE	B4	processed_transcript
chr19	11536800	11536802	+	-0.160175247	2.232346559	0.184879399	0.671621677	FALSE	BPA10mg	F	adt	ENSMUST00000025581.6	ENSMUSG00000024678.6	Ms4a4d	protein_coding	chr19	11536694	11537073	+	RMER13B	LTR	ERVK	protein_coding
chr4	143412425	143412427	+	-0.504272447	0.386099979	0.189923977	0.680164753	FALSE	BPA10mg	F	adt	ENSMUST00000059790.10	ENSMUSG00000046862.14	Pramef8	protein_coding	chr4	143412327	143412467	-	B1_Mur2	SINE	Alu	protein_coding
chr1	187236456	187236458	+	-0.171941805	1.729681455	0.192925886	0.685389187	FALSE	BPA10mg	F	adt	ENSMUST00000193542.2	ENSMUSG00000104394.2	Gm37254	TEC	chr1	187236171	187236705	-	Tigger17a	DNA	TcMar-Tigger	TEC
chr17	36121464	36121466	-	-0.379283244	0.572604379	0.194473393	0.687810998	FALSE	BPA10mg	F	adt	ENSMUST00000174382.7	ENSMUSG00000079491.9	H2-T10	polymorphic_pseudogene	chr17	36121230	36121562	-	RLTR34D_MM	LTR	ERVK	polymorphic_pseudogene
chr2	30279630	30279632	+	-0.32820078	0.544697968	0.200526531	0.698033439	FALSE	BPA10mg	F	adt	ENSMUST00000129512.1	ENSMUSG00000079484.12	Phyhd1	protein_coding	chr2	30279511	30279689	-	B2_Mm2	SINE	B2	retained_intron
chr10	128007610	128007612	-	-0.280915133	6.772764403	0.211036964	0.714980021	FALSE	BPA10mg	F	adt	ENSMUST00000219183.1	ENSMUSG00000025396.7	Hsd17b6	protein_coding	chr10	128007359	128007807	-	MLT2B3	LTR	ERVL	protein_coding
chr17	24722905	24722907	-	-0.533536178	1.325682917	0.211506783	0.715737827	FALSE	BPA10mg	F	adt	ENSMUST00000144285.1	ENSMUSG00000040048.14	Ndufb10	protein_coding	chr17	24722869	24723008	+	B1_Mus2	SINE	Alu	retained_intron
chr2	84476774	84476776	-	-0.518946626	0.051067958	0.217390332	0.723974195	FALSE	BPA10mg	F	adt	ENSMUST00000090732.9	ENSMUSG00000027082.15	Tfpi	protein_coding	chr2	84476625	84476862	-	RLTR42	LTR	ERVK	protein_coding
chr10	77931778	77931780	-	-0.53766991	-0.729155927	0.220956308	0.729598376	FALSE	BPA10mg	F	adt	ENSMUST00000140471.7	ENSMUSG00000009292.18	Trpm2	protein_coding	chr10	77931411	77931800	+	MER77	LTR	ERVL	retained_intron
chr7	140860641	140860643	+	-0.356200607	-0.007160247	0.221165125	0.729783915	FALSE	BPA10mg	F	adt	ENSMUST00000131850.1	ENSMUSG00000025485.13	Ric8a	protein_coding	chr7	140860618	140860703	-	ID_B1	SINE	B4	retained_intron
chr8	27229587	27229589	-	-0.308836602	0.471025999	0.224823864	0.734492844	FALSE	BPA10mg	F	adt	ENSMUST00000081438.9	ENSMUSG00000031489.15	Adrb3	protein_coding	chr8	27229477	27229682	+	URR1A	DNA	hAT-Charlie	protein_coding
chr11	70974739	70974741	+	-0.26727255	0.510678175	0.234948932	0.750430872	FALSE	BPA10mg	F	adt	ENSMUST00000129540.1	ENSMUSG00000018449.12	Rpain	protein_coding	chr11	70974580	70974783	-	ID_B1	SINE	B4	retained_intron
chr14	46084027	46084029	+	-0.208387776	3.698039817	0.251467574	0.773259465	FALSE	BPA10mg	F	adt	ENSMUST00000227415.1	ENSMUSG00000044285.8	Gm1821	transcribed_processed_pseudogene	chr14	46083574	46084029	+	L1Md_F2	LINE	L1	processed_transcript
chr9	108946164	108946166	+	-0.130071525	2.286637705	0.254736672	0.777801799	FALSE	BPA10mg	F	adt	ENSMUST00000193332.1	ENSMUSG00000025651.14	Uqcrc1	protein_coding	chr9	108946096	108946229	-	RSINE1	SINE	B4	retained_intron
chr15	97794444	97794446	-	-0.363604458	0.581504795	0.263901282	0.79150927	FALSE	BPA10mg	F	adt	ENSMUST00000151334.1	ENSMUSG00000022475.19	Hdac7	protein_coding	chr15	97794353	97794541	+	B3	SINE	B2	retained_intron
chr17	71356495	71356497	-	-0.384074765	0.852269067	0.26675966	0.795215903	FALSE	BPA10mg	F	adt	ENSMUST00000138193.7	ENSMUSG00000024054.14	Smchd1	protein_coding	chr17	71355978	71356582	+	Lx2	LINE	L1	processed_transcript
chr10	62965975	62965977	+	-0.399283499	0.66323373	0.26905808	0.797893782	FALSE	BPA10mg	F	adt	ENSMUST00000137378.1	ENSMUSG00000036875.15	Dna2	protein_coding	chr10	62965928	62966128	+	ID_B1	SINE	B4	retained_intron
chr3	142765044	142765046	+	-0.099527389	4.604338998	0.269943736	0.798932954	FALSE	BPA10mg	F	adt	ENSMUST00000029938.9	ENSMUSG00000028271.9	Gtf2b	protein_coding	chr3	142764945	142765053	-	MT2B	LTR	ERVL	protein_coding
chr19	53589066	53589068	-	-0.248495711	1.896497729	0.270931579	0.799856716	FALSE	BPA10mg	F	adt	ENSMUST00000095978.3	ENSMUSG00000071497.3	Nutf2-ps1	protein_coding	chr19	53589062	53593193	-	Lx	LINE	L1	protein_coding
chr6	3570693	3570695	+	-0.412120562	1.598304591	0.280214862	0.80992329	FALSE	BPA10mg	F	adt	ENSMUST00000183532.7	ENSMUSG00000001376.17	Vps50	protein_coding	chr6	3570539	3570799	+	L1_Rod	LINE	L1	processed_transcript
chr11	97778634	97778636	-	-0.169510629	1.748719084	0.286555134	0.818828912	FALSE	BPA10mg	F	adt	ENSMUST00000150955.1	ENSMUSG00000071415.6	Rpl23	protein_coding	chr11	97778491	97778656	+	B2_Mm1a	SINE	B2	processed_transcript
chr3	142738510	142738512	+	-0.352022895	-0.234768337	0.287672588	0.820403337	FALSE	BPA10mg	F	adt	ENSMUST00000128096.1	ENSMUSG00000040213.13	Kyat3	protein_coding	chr3	142738436	142738575	+	B1_Mus2	SINE	Alu	processed_transcript
chr1	193207724	193207726	+	-0.389038069	0.878297973	0.292894932	0.82628584	FALSE	BPA10mg	F	adt	ENSMUST00000194677.5	ENSMUSG00000026639.18	Lamb3	protein_coding	chr1	193207624	193207939	+	ORR1B1	LTR	ERVL-MaLR	protein_coding
chr5	45521006	45521008	+	-0.107793878	3.427236355	0.2934868	0.82735617	FALSE	BPA10mg	F	adt	ENSMUST00000015948.13	ENSMUSG00000015804.14	Med28	protein_coding	chr5	45521002	45521081	-	RSINE1	SINE	B4	processed_transcript
chr10	128007593	128007595	-	-0.293373325	1.812079944	0.301077264	0.836350862	FALSE	BPA10mg	F	adt	ENSMUST00000219953.1	ENSMUSG00000025396.7	Hsd17b6	protein_coding	chr10	128007359	128007807	-	MLT2B3	LTR	ERVL	protein_coding
chr2	30830332	30830334	-	-0.330094936	0.458070089	0.30238542	0.837824651	FALSE	BPA10mg	F	adt	ENSMUST00000041726.3	ENSMUSG00000039483.10	Asb6	protein_coding	chr2	30830289	30830441	-	MIRb	SINE	MIR	protein_coding
chr14	66140932	66140934	+	-0.245786854	2.30965635	0.304073161	0.83964142	FALSE	BPA10mg	F	adt	ENSMUST00000022620.10	ENSMUSG00000022041.10	Chrna2	protein_coding	chr14	66140905	66140987	-	MIRb	SINE	MIR	protein_coding
chr19	5673946	5673948	-	-0.378454373	2.30686768	0.306349353	0.84253839	FALSE	BPA10mg	F	adt	ENSMUST00000146638.1	ENSMUSG00000054874.12	Pcnx3	protein_coding	chr19	5673928	5674079	+	ID_B1	SINE	B4	retained_intron
chr14	54297342	54297344	-	-0.272027245	5.340154164	0.315465656	0.851943665	FALSE	BPA10mg	F	adt	ENSMUST00000199958.1	ENSMUSG00000105703.2	Gm43305	processed_transcript	chr14	54297341	54297635	-	RLTR4_Mm	LTR	ERV1	retained_intron
chr2	32608070	32608072	+	-0.101084342	4.919163751	0.316027408	0.852951096	FALSE	BPA10mg	F	adt	ENSMUST00000072111.7	ENSMUSG00000026811.18	St6galnac6	protein_coding	chr2	32607992	32608121	-	MIRb	SINE	MIR	protein_coding
chr7	28380252	28380254	-	-0.192770543	4.538312207	0.319786621	0.856334955	FALSE	BPA10mg	F	adt	ENSMUST00000051241.6	ENSMUSG00000044786.6	Zfp36	protein_coding	chr7	28380184	28380295	+	PB1D11	SINE	Alu	protein_coding
chr9	107296025	107296027	+	-0.42273664	3.83869367	0.330203213	0.8673858	FALSE	BPA10mg	F	adt	ENSMUST00000085102.5	ENSMUSG00000032578.7	Cish	protein_coding	chr9	107295927	107296051	+	B1_Mm	SINE	Alu	protein_coding
chr16	4771511	4771513	-	-0.229290351	2.126459341	0.330482609	0.867634879	FALSE	BPA10mg	F	adt	ENSMUST00000140187.7	ENSMUSG00000004071.13	Cdip1	protein_coding	chr16	4771475	4771574	-	PB1D10	SINE	Alu	retained_intron
chr16	23609056	23609058	+	-0.214802188	2.921126399	0.337561667	0.875035674	FALSE	BPA10mg	F	adt	ENSMUST00000210901.1	ENSMUSG00000033355.6	Rtp4	protein_coding	chr16	23609024	23609273	+	Lx2B2	LINE	L1	protein_coding
chr11	113649327	113649329	+	-0.400217223	-0.005743735	0.338170927	0.875684509	FALSE	BPA10mg	F	adt	ENSMUST00000063776.13	ENSMUSG00000018661.17	Cog1	protein_coding	chr11	113649171	113649332	+	RSINE1	SINE	B4	protein_coding
chr14	44637200	44637202	-	-0.136424368	2.873553539	0.347059579	0.88348164	FALSE	BPA10mg	F	adt	ENSMUST00000226445.1	ENSMUSG00000115801.1	AC160336.1	lincRNA	chr14	44632450	44637467	+	L1Md_F2	LINE	L1	lincRNA
chr11	83223575	83223577	+	-0.18900869	1.482699627	0.347613292	0.884064929	FALSE	BPA10mg	F	adt	ENSMUST00000143673.1	ENSMUSG00000087107.8	AI662270	processed_transcript	chr11	83223443	83223754	+	RLTR12BD_Mm	LTR	ERVK	lincRNA
chr12	84368425	84368427	+	-0.412184171	0.382019543	0.354428092	0.890572946	FALSE	BPA10mg	F	adt	ENSMUST00000126913.7	ENSMUSG00000021235.13	Coq6	protein_coding	chr12	84368348	84368437	-	PB1D10	SINE	Alu	processed_transcript
chr17	45588740	45588742	-	-0.218322719	0.402921237	0.357113526	0.892597303	FALSE	BPA10mg	F	adt	ENSMUST00000171978.1	ENSMUSG00000023942.15	Slc29a1	protein_coding	chr17	45588628	45588825	-	ID_B1	SINE	B4	processed_transcript
chr11	22978995	22978997	-	-0.350467451	0.92893947	0.361042143	0.895263869	FALSE	BPA10mg	F	adt	ENSMUST00000057843.11	ENSMUSG00000051355.18	Commd1	protein_coding	chr11	22978936	22979043	+	PB1D9	SINE	Alu	protein_coding
chr17	35442187	35442189	+	-0.222350685	0.929544606	0.363164092	0.896993744	FALSE	BPA10mg	F	adt	ENSMUST00000173016.1	ENSMUSG00000060550.16	H2-Q7	protein_coding	chr17	35442040	35442220	-	B2_Mm1t	SINE	B2	retained_intron
chr7	105743609	105743611	-	-0.380616326	0.563519168	0.365375039	0.898824494	FALSE	BPA10mg	F	adt	ENSMUST00000146999.1	ENSMUSG00000043866.11	Taf10	protein_coding	chr7	105743578	105743724	+	B1_Mus1	SINE	Alu	retained_intron
chr2	10131074	10131076	-	-0.217809841	1.46224744	0.366624308	0.900380961	FALSE	BPA10mg	F	adt	ENSMUST00000155809.8	ENSMUSG00000037254.18	Itih2	protein_coding	chr2	10131044	10131128	+	B3	SINE	B2	protein_coding
chr17	83847962	83847964	-	-0.079845222	4.731565375	0.371930512	0.9051367	FALSE	BPA10mg	F	adt	ENSMUST00000234823.1	ENSMUSG00000000673.9	Haao	protein_coding	chr17	83847711	83848039	-	ORR1A4	LTR	ERVL-MaLR	retained_intron
chr1	132506888	132506890	+	-0.341451022	0.376181259	0.373636914	0.906308456	FALSE	BPA10mg	F	adt	ENSMUST00000188789.1	ENSMUSG00000048174.2	Tmem81	protein_coding	chr1	132506765	132506914	-	B1_Mur3	SINE	Alu	protein_coding
chr2	60284487	60284489	-	-0.067245222	8.201212022	0.37498392	0.907561824	FALSE	BPA10mg	F	adt	ENSMUST00000074606.10	ENSMUSG00000060703.12	Cd302	protein_coding	chr2	60284298	60284596	-	L1MC4a	LINE	L1	protein_coding
chr2	39005623	39005625	-	-0.069738894	7.030153122	0.374944788	0.907561824	FALSE	BPA10mg	F	adt	ENSMUST00000080861.5	ENSMUSG00000062997.6	Rpl35	protein_coding	chr2	39005553	39005661	-	RSINE1	SINE	B4	protein_coding
chr6	122602443	122602445	-	-0.381759727	0.873426661	0.377612879	0.909302929	FALSE	BPA10mg	F	adt	ENSMUST00000112586.7	ENSMUSG00000040613.14	Apobec1	protein_coding	chr6	122601857	122602858	-	RLTR19-int	LTR	ERVK	protein_coding
chr13	65302405	65302407	+	-0.099174778	1.988252645	0.378285794	0.909635257	FALSE	BPA10mg	F	adt	ENSMUST00000222364.1	ENSMUSG00000021514.18	Zfp369	protein_coding	chr13	65300835	65304034	-	L1_Mus1	LINE	L1	retained_intron
chr10	128922887	128922889	-	-0.131931537	1.805696261	0.388107202	0.920447049	FALSE	BPA10mg	F	adt	ENSMUST00000135161.1	ENSMUSG00000025350.15	Rdh5	protein_coding	chr10	128922822	128922919	-	MIR3	SINE	MIR	protein_coding
chr17	28446499	28446501	+	-0.163558206	2.859897409	0.390133824	0.922149531	FALSE	BPA10mg	F	adt	ENSMUST00000232983.1	ENSMUSG00000117084.1	AC154912.1	antisense	chr17	28446378	28446538	+	L1MB4	LINE	L1	antisense
chr17	6990655	6990657	+	-0.181967411	4.367679596	0.391131297	0.922687893	FALSE	BPA10mg	F	adt	ENSMUST00000232029.1	ENSMUSG00000094724.8	Rnaset2b	protein_coding	chr17	6990639	6990833	-	B3	SINE	B2	processed_transcript
chr6	113377375	113377377	-	-0.239547832	1.550228447	0.393766249	0.924956584	FALSE	BPA10mg	F	adt	ENSMUST00000043333.8	ENSMUSG00000048930.12	Tada3	protein_coding	chr6	113377282	113377405	+	MIRb	SINE	MIR	protein_coding
chr6	140622662	140622664	+	-0.083272995	3.251822812	0.398752938	0.927714436	FALSE	BPA10mg	F	adt	ENSMUST00000032359.14	ENSMUSG00000030232.18	Aebp2	protein_coding	chr6	140622632	140622747	-	B1F2	SINE	Alu	protein_coding
chr1	190925111	190925113	+	-0.431112124	2.688324201	0.413062706	0.936761226	FALSE	BPA10mg	F	adt	ENSMUST00000027947.12	ENSMUSG00000026634.16	Angel2	protein_coding	chr1	190924967	190925310	+	MTB_Mm	LTR	ERVL-MaLR	protein_coding
chrX	7681250	7681252	-	-0.129549471	1.734237453	0.41388872	0.937657565	FALSE	BPA10mg	F	adt	ENSMUST00000130287.1	ENSMUSG00000031147.8	Magix	protein_coding	chrX	7681236	7681483	+	L1M5	LINE	L1	processed_transcript
chr16	23192075	23192077	+	-0.097158648	3.483075092	0.430533832	0.952348328	FALSE	BPA10mg	F	adt	ENSMUST00000232174.1	ENSMUSG00000068463.4	B630019A10Rik	antisense	chr16	23191707	23192250	-	Lx8	LINE	L1	antisense
chr17	29274074	29274076	+	-0.141379799	5.358744472	0.431844457	0.953381129	FALSE	BPA10mg	F	adt	ENSMUST00000149405.3	ENSMUSG00000052712.17	BC004004	protein_coding	chr17	29273988	29274141	-	L2	LINE	L2	protein_coding
chr5	135636531	135636533	+	-0.218830417	0.626837082	0.441848818	0.95980904	FALSE	BPA10mg	F	adt	ENSMUST00000084599.3	ENSMUSG00000039917.10	Rhbdd2	protein_coding	chr5	135636418	135636567	+	MIR3	SINE	MIR	retained_intron
chr19	5406761	5406763	+	-0.134556012	1.93877577	0.446218677	0.962637232	FALSE	BPA10mg	F	adt	ENSMUST00000174754.7	ENSMUSG00000086938.8	4930481A15Rik	antisense	chr19	5406362	5406822	-	IAPLTR2_Mm	LTR	ERVK	antisense
chr3	119709515	119709517	+	-0.085940153	2.62138463	0.450597848	0.966519943	FALSE	BPA10mg	F	adt	ENSMUST00000196114.1	ENSMUSG00000106037.1	Gm4332	processed_pseudogene	chr3	119707237	119711590	+	Lx5	LINE	L1	processed_pseudogene
chr4	108170142	108170144	+	-0.254798785	2.397244162	0.451403157	0.967014008	FALSE	BPA10mg	F	adt	ENSMUST00000133049.8	ENSMUSG00000028601.18	Echdc2	protein_coding	chr4	108169974	108170178	-	MIRb	SINE	MIR	processed_transcript
chr5	40328437	40328439	+	-0.184076503	0.324172067	0.453078406	0.968002967	FALSE	BPA10mg	F	adt	ENSMUST00000118681.1	ENSMUSG00000082938.1	Gm2810	processed_pseudogene	chr5	40328261	40328443	-	B2_Mm1t	SINE	B2	processed_pseudogene
chr13	67114027	67114029	-	-0.179786506	0.138454196	0.458928115	0.971510463	FALSE	BPA10mg	F	adt	ENSMUST00000091526.3	ENSMUSG00000074824.3	Rslcan18	protein_coding	chr13	67114020	67114376	-	RLTR9A	LTR	ERVK	protein_coding
chr13	74324255	74324257	-	-0.223962924	1.63469424	0.461685178	0.973067417	FALSE	BPA10mg	F	adt	ENSMUST00000161434.1	ENSMUSG00000021577.14	Sdha	protein_coding	chr13	74324225	74324353	-	B1_Mus1	SINE	Alu	retained_intron
chr17	36042704	36042706	-	-0.192067366	4.198874397	0.461909021	0.973287406	FALSE	BPA10mg	F	adt	ENSMUST00000080015.11	ENSMUSG00000056116.18	H2-T22	protein_coding	chr17	36042507	36042845	-	RLTR34D_MM	LTR	ERVK	protein_coding
chr4	34550936	34550938	+	-0.051745783	3.888374899	0.468400066	0.976334412	FALSE	BPA10mg	F	adt	ENSMUST00000084299.5	ENSMUSG00000028291.7	Akirin2	protein_coding	chr4	34550905	34551165	-	MMERVK9C_I-int	LTR	ERVK	protein_coding
chr13	97171448	97171450	+	-0.138108723	1.673239035	0.468693514	0.976477531	FALSE	BPA10mg	F	adt	ENSMUST00000159321.1	ENSMUSG00000021666.16	Gfm2	protein_coding	chr13	97171439	97171481	-	L1MEd	LINE	L1	retained_intron
chr16	3747886	3747888	+	-0.231248456	1.684578267	0.469022036	0.976738576	FALSE	BPA10mg	F	adt	ENSMUST00000162207.1	ENSMUSG00000022529.11	Zfp263	protein_coding	chr16	3747790	3747935	-	B1_Mm	SINE	Alu	protein_coding
chr10	128007593	128007595	-	-0.175034644	2.433771423	0.473796582	0.97952836	FALSE	BPA10mg	F	adt	ENSMUST00000219707.1	ENSMUSG00000025396.7	Hsd17b6	protein_coding	chr10	128007359	128007807	-	MLT2B3	LTR	ERVL	protein_coding
chrX	60592697	60592699	-	-0.454181198	3.598709084	0.476212545	0.981096343	FALSE	BPA10mg	F	adt	ENSMUST00000154051.7	ENSMUSG00000062949.13	Atp11c	protein_coding	chrX	60592601	60592713	+	LTR16B	LTR	ERVL	protein_coding
chr7	110837528	110837530	-	-0.293389846	-0.097526497	0.478133661	0.982382888	FALSE	BPA10mg	F	adt	ENSMUST00000175981.7	ENSMUSG00000030788.16	Rnf141	protein_coding	chr7	110837327	110837746	-	MTC	LTR	ERVL-MaLR	protein_coding
chr7	27452417	27452419	+	-0.076135541	5.289516283	0.478389865	0.982500837	FALSE	BPA10mg	F	adt	ENSMUST00000108357.7	ENSMUSG00000040466.16	Blvrb	protein_coding	chr7	27452338	27452460	-	B1_Mur4	SINE	Alu	protein_coding
chr7	140856956	140856958	+	-0.187264936	2.430929371	0.479626961	0.983311929	FALSE	BPA10mg	F	adt	ENSMUST00000026558.6	ENSMUSG00000025485.13	Ric8a	protein_coding	chr7	140856851	140856963	-	B1_Mur3	SINE	Alu	protein_coding
chr7	140856956	140856958	+	-0.187264936	2.430929371	0.479626961	0.983311929	FALSE	BPA10mg	F	adt	ENSMUST00000026558.6	ENSMUSG00000025485.13	Ric8a	protein_coding	chr7	140856908	140856972	-	B4A	SINE	B4	protein_coding
chr5	9155732	9155734	+	-0.114824319	0.439692352	0.481743568	0.984964143	FALSE	BPA10mg	F	adt	ENSMUST00000200542.1	ENSMUSG00000079659.5	Tmem243	protein_coding	chr5	9155637	9155808	-	B2_Mm2	SINE	B2	processed_transcript
chr6	43282613	43282615	+	-0.231266763	-0.288543096	0.491237941	0.989350949	FALSE	BPA10mg	F	adt	ENSMUST00000183313.1	ENSMUSG00000033542.13	Arhgef5	protein_coding	chr6	43282450	43282903	-	L1_Mus3	LINE	L1	retained_intron
chr16	8792307	8792309	-	-0.271811976	3.361832136	0.502942609	0.995698055	FALSE	BPA10mg	F	adt	ENSMUST00000160405.7	ENSMUSG00000022710.17	Usp7	protein_coding	chr16	8792151	8792459	-	ORR1A4	LTR	ERVL-MaLR	protein_coding
chr1	75528639	75528641	+	-0.288444424	0.97284618	0.504716107	0.996272086	FALSE	BPA10mg	F	adt	ENSMUST00000156838.7	ENSMUSG00000026213.15	Stk11ip	protein_coding	chr1	75528594	75528740	+	MER103C	DNA	hAT-Charlie	retained_intron
chr7	19344777	19344779	+	-0.126555811	0.727922668	0.688240749	1	FALSE	BPA10mg	F	adt	ENSMUST00000003645.8	ENSMUSG00000003549.9	Ercc1	protein_coding	chr7	19344731	19344882	+	RLTR51A_Mm	LTR	ERVK?	protein_coding
chr17	46831412	46831414	-	-0.046863422	3.109830714	0.640347189	1	FALSE	BPA10mg	F	adt	ENSMUST00000040624.6	ENSMUSG00000036568.7	Bicral	protein_coding	chr17	46831287	46831430	+	ID_B1	SINE	B4	protein_coding
chr17	43804002	43804004	+	-0.048814222	2.670202978	0.811929145	1	FALSE	BPA10mg	F	adt	ENSMUST00000044895.12	ENSMUSG00000039601.16	Rcan2	protein_coding	chr17	43803759	43804054	-	L2b	LINE	L2	protein_coding
chr9	44418568	44418570	-	-0.12925561	0.47397605	0.60311156	1	FALSE	BPA10mg	F	adt	ENSMUST00000053286.8	ENSMUSG00000043923.8	Ccdc84	protein_coding	chr9	44418523	44418648	-	B1_Mus1	SINE	Alu	protein_coding
chr11	46707058	46707060	-	-0.038017364	6.126798464	0.584465765	1	FALSE	BPA10mg	F	adt	ENSMUST00000055102.12	ENSMUSG00000040413.15	Timd2	protein_coding	chr11	46706744	46707436	-	RLTR14-int	LTR	ERV1	protein_coding
chr8	3587292	3587294	+	-0.210906763	1.165966677	0.62032088	1	FALSE	BPA10mg	F	adt	ENSMUST00000057028.14	ENSMUSG00000044433.16	Camsap3	protein_coding	chr8	3587180	3587312	-	B1_Mur1	SINE	Alu	protein_coding
chr6	83572728	83572730	-	-0.023933942	2.027125932	0.899149421	1	FALSE	BPA10mg	F	adt	ENSMUST00000068054.8	ENSMUSG00000006906.10	Stambp	protein_coding	chr6	83572664	83573032	-	Lx4B	LINE	L1	protein_coding
chr18	48045334	48045336	+	-0.078275522	2.852273741	0.672696856	1	FALSE	BPA10mg	F	adt	ENSMUST00000076155.4	ENSMUSG00000059040.4	Eno1b	protein_coding	chr18	48045068	48045353	-	RLTR51A_Mm	LTR	ERVK?	protein_coding
chr15	102472736	102472738	+	-0.156481337	0.672877682	0.644455791	1	FALSE	BPA10mg	F	adt	ENSMUST00000078404.14	ENSMUSG00000056851.14	Pcbp2	protein_coding	chr15	102472614	102472751	-	B1F1	SINE	Alu	protein_coding
chr15	76660060	76660062	-	-0.033353291	4.549237361	0.596326928	1	FALSE	BPA10mg	F	adt	ENSMUST00000081291.12	ENSMUSG00000053929.17	Cyhr1	protein_coding	chr15	76660057	76660089	-	ID_B1	SINE	B4	protein_coding
chr4	41755227	41755229	+	-0.050390902	4.424954159	0.75907915	1	FALSE	BPA10mg	F	adt	ENSMUST00000084695.10	ENSMUSG00000036073.17	Galt	protein_coding	chr4	41755060	41755294	+	Lx8	LINE	L1	protein_coding
chr2	132285938	132285940	+	-0.011369387	4.96064905	0.892202068	1	FALSE	BPA10mg	F	adt	ENSMUST00000089461.10	ENSMUSG00000058793.14	Cds2	protein_coding	chr2	132285829	132286418	+	RLTR17	LTR	ERVK	protein_coding
chr7	141169225	141169227	-	-0.101322551	3.29465182	0.511897039	1	FALSE	BPA10mg	F	adt	ENSMUST00000106033.4	ENSMUSG00000038650.15	Rnh1	protein_coding	chr7	141169102	141169276	-	B3	SINE	B2	protein_coding
chr3	98763126	98763128	-	-0.035929777	4.418497666	0.861440217	1	FALSE	BPA10mg	F	adt	ENSMUST00000107018.7	ENSMUSG00000062410.14	Hsd3b3	protein_coding	chr3	98762943	98763241	-	ORR1D1	LTR	ERVL-MaLR	protein_coding
chr2	180071792	180071794	+	-0.276320164	1.339899644	0.514703718	1	FALSE	BPA10mg	F	adt	ENSMUST00000108901.7	ENSMUSG00000039069.19	Mtg2	protein_coding	chr2	180071774	180071985	-	ID_B1	SINE	B4	protein_coding
chr2	122440762	122440764	+	-0.034030569	-0.129997715	0.873032877	1	FALSE	BPA10mg	F	adt	ENSMUST00000110524.1	ENSMUSG00000027219.13	Slc28a2	protein_coding	chr2	122440688	122441078	+	MT2A	LTR	ERVL	protein_coding
chr6	122602370	122602372	-	-0.111780408	2.836650499	0.64768593	1	FALSE	BPA10mg	F	adt	ENSMUST00000112585.7	ENSMUSG00000040613.14	Apobec1	protein_coding	chr6	122601857	122602858	-	RLTR19-int	LTR	ERVK	protein_coding
chr2	24891702	24891704	-	-0.004539393	2.435559287	0.958933552	1	FALSE	BPA10mg	F	adt	ENSMUST00000114418.9	ENSMUSG00000036893.17	Ehmt1	protein_coding	chr2	24891686	24891944	+	MLT1H	LTR	ERVL-MaLR	protein_coding
chr9	44776376	44776378	+	-0.040427348	3.649918343	0.694907488	1	FALSE	BPA10mg	F	adt	ENSMUST00000118186.1	ENSMUSG00000002031.12	Ift46	protein_coding	chr9	44776222	44776541	+	ORR1A2	LTR	ERVL-MaLR	protein_coding
chr7	127309517	127309519	+	-0.211608922	1.419802841	0.606728869	1	FALSE	BPA10mg	F	adt	ENSMUST00000118405.1	ENSMUSG00000030830.18	Itgal	protein_coding	chr7	127309484	127309642	-	MTEb	LTR	ERVL-MaLR	protein_coding
chr4	120831571	120831573	-	-0.202380054	0.619913084	0.664634615	1	FALSE	BPA10mg	F	adt	ENSMUST00000118902.7	ENSMUSG00000032897.17	Nfyc	protein_coding	chr4	120831360	120831940	-	MT2B	LTR	ERVL	protein_coding
chr7	80401706	80401708	-	-0.129382859	4.234678605	0.705657516	1	FALSE	BPA10mg	F	adt	ENSMUST00000120753.2	ENSMUSG00000030530.15	Furin	protein_coding	chr7	80401664	80401753	-	Charlie15a	DNA	hAT-Charlie	protein_coding
chr4	149701589	149701591	-	-0.019391654	0.806092058	0.894513755	1	FALSE	BPA10mg	F	adt	ENSMUST00000122059.7	ENSMUSG00000039936.18	Pik3cd	protein_coding	chr4	149701453	149701798	-	MTC	LTR	ERVL-MaLR	protein_coding
chr12	44221369	44221371	+	-0.031749003	5.083794794	0.797722494	1	FALSE	BPA10mg	F	adt	ENSMUST00000122902.7	ENSMUSG00000036257.15	Pnpla8	protein_coding	chr12	44221073	44221534	+	MT2C_Mm	LTR	ERVL	protein_coding
chr11	46707060	46707062	-	-0.008760869	1.298098789	0.946200408	1	FALSE	BPA10mg	F	adt	ENSMUST00000125008.1	ENSMUSG00000040413.15	Timd2	protein_coding	chr11	46706744	46707436	-	RLTR14-int	LTR	ERV1	protein_coding
chr2	5035902	5035904	-	-0.037817986	1.136118981	0.877860957	1	FALSE	BPA10mg	F	adt	ENSMUST00000125203.7	ENSMUSG00000026672.11	Optn	protein_coding	chr2	5035802	5035920	+	ID_B1	SINE	B4	processed_transcript
chr3	75879007	75879009	-	-0.137177516	2.477272665	0.730164276	1	FALSE	BPA10mg	F	adt	ENSMUST00000134219.1	ENSMUSG00000034109.15	Golim4	protein_coding	chr3	75878956	75879048	+	RMER15	LTR	ERVL	retained_intron
